Index,Date,Hour,Precip_mm,Global Radiation (Kj/m²),Atm_pressure_mb,Air_temp_C,Dew_Point_Temp_C,Rel_Humidity_percent,Wind_dir_deg,Gust,Wind_Speed,Brazilian_Geopolitical_Regions,State,Station_Name,Station_Code,Latitude,Longitude,Elevation,Precip_mm_diff_1,Global Radiation (Kj/m²)_diff_1,Atm_pressure_mb_diff_1,Air_temp_C_diff_1,Dew_Point_Temp_C_diff_1,Rel_Humidity_percent_diff_1,Gust_diff_1,Wind_Speed_diff_1,Precip_mm_diff_2,Global Radiation (Kj/m²)_diff_2,Atm_pressure_mb_diff_2,Air_temp_C_diff_2,Dew_Point_Temp_C_diff_2,Rel_Humidity_percent_diff_2,Gust_diff_2,Wind_Speed_diff_2,Precip_mm_diff_3,Global Radiation (Kj/m²)_diff_3,Atm_pressure_mb_diff_3,Air_temp_C_diff_3,Dew_Point_Temp_C_diff_3,Rel_Humidity_percent_diff_3,Gust_diff_3,Wind_Speed_diff_3,Precip_mm_diff_4,Global Radiation (Kj/m²)_diff_4,Atm_pressure_mb_diff_4,Air_temp_C_diff_4,Dew_Point_Temp_C_diff_4,Rel_Humidity_percent_diff_4,Gust_diff_4,Wind_Speed_diff_4,Precip_mm_diff_5,Global Radiation (Kj/m²)_diff_5,Atm_pressure_mb_diff_5,Air_temp_C_diff_5,Dew_Point_Temp_C_diff_5,Rel_Humidity_percent_diff_5,Gust_diff_5,Wind_Speed_diff_5,Precip_mm_diff_6,Global Radiation (Kj/m²)_diff_6,Atm_pressure_mb_diff_6,Air_temp_C_diff_6,Dew_Point_Temp_C_diff_6,Rel_Humidity_percent_diff_6,Gust_diff_6,Wind_Speed_diff_6,Precip_mm_diff_7,Global Radiation (Kj/m²)_diff_7,Atm_pressure_mb_diff_7,Air_temp_C_diff_7,Dew_Point_Temp_C_diff_7,Rel_Humidity_percent_diff_7,Gust_diff_7,Wind_Speed_diff_7,Precip_mm_diff_8,Global Radiation (Kj/m²)_diff_8,Atm_pressure_mb_diff_8,Air_temp_C_diff_8,Dew_Point_Temp_C_diff_8,Rel_Humidity_percent_diff_8,Gust_diff_8,Wind_Speed_diff_8
138998,2017-12-20,2017-12-20 14:00:00,0.0,3391.0,899.6,26.5,17.7,59.0,39.0,9.6,3.9,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138999,2017-12-20,2017-12-20 15:00:00,0.0,3306.0,899.2,26.6,16.7,54.0,55.0,8.3,3.4,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,-85.0,-0.39999999999997726,0.10000000000000142,-1.0,-5.0,-1.299999999999999,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139000,2017-12-20,2017-12-20 16:00:00,0.0,3167.0,898.6,27.3,15.8,49.0,62.0,8.3,3.6,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,-139.0,-0.6000000000000227,0.6999999999999993,-0.8999999999999986,-5.0,0.0,0.20000000000000018,0.0,-224.0,-1.0,0.8000000000000007,-1.8999999999999986,-10.0,-1.299999999999999,-0.2999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139001,2017-12-20,2017-12-20 17:00:00,0.0,3279.0,897.7,27.5,12.9,41.0,43.0,6.7,3.1,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,112.0,-0.8999999999999773,0.1999999999999993,-2.9000000000000004,-8.0,-1.6000000000000005,-0.5,0.0,-27.0,-1.5,0.8999999999999986,-3.799999999999999,-13.0,-1.6000000000000005,-0.2999999999999998,0.0,-112.0,-1.8999999999999773,1.0,-4.799999999999999,-18.0,-2.8999999999999995,-0.7999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139002,2017-12-20,2017-12-20 18:00:00,0.0,2753.0,897.0,27.5,13.7,43.0,98.0,6.4,3.5,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,-526.0,-0.7000000000000455,0.0,0.7999999999999989,2.0,-0.2999999999999998,0.3999999999999999,0.0,-414.0,-1.6000000000000227,0.1999999999999993,-2.1000000000000014,-6.0,-1.9000000000000004,-0.10000000000000009,0.0,-553.0,-2.2000000000000455,0.8999999999999986,-3.0,-11.0,-1.9000000000000004,0.10000000000000009,0.0,-638.0,-2.6000000000000227,1.0,-4.0,-16.0,-3.1999999999999993,-0.3999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139003,2017-12-20,2017-12-20 19:00:00,0.0,2140.0,896.3,28.4,13.5,40.0,67.0,6.4,2.9,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,-613.0,-0.7000000000000455,0.8999999999999986,-0.1999999999999993,-3.0,0.0,-0.6000000000000001,0.0,-1139.0,-1.400000000000091,0.8999999999999986,0.5999999999999996,-1.0,-0.2999999999999998,-0.20000000000000018,0.0,-1027.0,-2.300000000000068,1.0999999999999979,-2.3000000000000007,-9.0,-1.9000000000000004,-0.7000000000000002,0.0,-1166.0,-2.900000000000091,1.7999999999999972,-3.1999999999999993,-14.0,-1.9000000000000004,-0.5,0.0,-1251.0,-3.300000000000068,1.8999999999999986,-4.199999999999999,-19.0,-3.1999999999999993,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
139004,2017-12-20,2017-12-20 20:00:00,0.0,1545.0,895.8,27.7,13.8,42.0,112.0,5.8,3.1,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,-595.0,-0.5,-0.6999999999999993,0.3000000000000007,2.0,-0.6000000000000005,0.20000000000000018,0.0,-1208.0,-1.2000000000000455,0.1999999999999993,0.10000000000000142,-1.0,-0.6000000000000005,-0.3999999999999999,0.0,-1734.0,-1.900000000000091,0.1999999999999993,0.9000000000000004,1.0,-0.9000000000000004,0.0,0.0,-1622.0,-2.800000000000068,0.3999999999999986,-2.0,-7.0,-2.500000000000001,-0.5,0.0,-1761.0,-3.400000000000091,1.0999999999999979,-2.8999999999999986,-12.0,-2.500000000000001,-0.2999999999999998,0.0,-1846.0,-3.800000000000068,1.1999999999999993,-3.8999999999999986,-17.0,-3.8,-0.7999999999999998,,,,,,,,,,,,,,,,
139005,2017-12-20,2017-12-20 21:00:00,0.0,692.0,896.1,26.2,12.4,42.0,113.0,5.6,2.3,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,-853.0,0.3000000000000682,-1.5,-1.4000000000000004,0.0,-0.20000000000000018,-0.8000000000000003,0.0,-1448.0,-0.1999999999999318,-2.1999999999999993,-1.0999999999999996,2.0,-0.8000000000000007,-0.6000000000000001,0.0,-2061.0,-0.8999999999999773,-1.3000000000000007,-1.299999999999999,-1.0,-0.8000000000000007,-1.2000000000000002,0.0,-2587.0,-1.6000000000000227,-1.3000000000000007,-0.5,1.0,-1.1000000000000005,-0.8000000000000003,0.0,-2475.0,-2.5,-1.1000000000000014,-3.4000000000000004,-7.0,-2.700000000000001,-1.3000000000000003,0.0,-2614.0,-3.1000000000000227,-0.40000000000000213,-4.299999999999999,-12.0,-2.700000000000001,-1.1,0.0,-2699.0,-3.5,-0.3000000000000007,-5.299999999999999,-17.0,-4.0,-1.6,,,,,,,,
139006,2017-12-20,2017-12-20 22:00:00,0.0,46.0,896.6,21.8,16.0,70.0,339.0,4.1,1.0,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,0.0,-646.0,0.5,-4.399999999999999,3.5999999999999996,28.0,-1.5,-1.2999999999999998,0.0,-1499.0,0.8000000000000682,-5.899999999999999,2.1999999999999993,28.0,-1.7000000000000002,-2.1,0.0,-2094.0,0.3000000000000682,-6.599999999999998,2.5,30.0,-2.3000000000000007,-1.9,0.0,-2707.0,-0.39999999999997726,-5.699999999999999,2.3000000000000007,27.0,-2.3000000000000007,-2.5,0.0,-3233.0,-1.1000000000000227,-5.699999999999999,3.0999999999999996,29.0,-2.6000000000000005,-2.1,0.0,-3121.0,-2.0,-5.5,0.1999999999999993,21.0,-4.200000000000001,-2.6,0.0,-3260.0,-2.6000000000000227,-4.800000000000001,-0.6999999999999993,16.0,-4.200000000000001,-2.4,0.0,-3345.0,-3.0,-4.699999999999999,-1.6999999999999993,11.0,-5.5,-2.9
139017,2017-12-21,2017-12-21 09:00:00,0.0,18.0,897.5,19.6,15.9,79.0,6.0,3.6,1.8,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
